Movie_Name,Genre,Running_Time,Metascore,Release_year,IMDb_Rating,Movie_Description,Votes,Gross
La antena,"Drama, Fantasy, Sci-Fi",99 min,,2007,7.3,"This near-silent black and white film from Argentina tells the story of a city that has lost its voice, stolen by Mr. TV, and the attempts of a small family to win the voice back. Similar in design to early German expressionist films.","4,350",
Upgrade,"Action, Sci-Fi, Thriller",100 min,67,2018,7.5,"Set in the near-future, technology controls nearly all aspects of life. But when the world of Grey, a self-labeled technophobe, is turned upside down, his only hope for revenge is an experimental computer chip implant.","196,746",$11.98M
Mad Love,"Horror, Romance, Sci-Fi",68 min,,1935,7.2,"In Paris, a demented surgeon's obsession with a British actress leads him to secretly replace her concert-pianist husband's mangled hands with those of a guillotined murderer with a gift for knife-throwing.","5,639",$0.37M
Spider-Man: Homecoming,"Action, Adventure, Sci-Fi",133 min,73,2017,7.4,"Peter Parker balances his life as an ordinary high school student in Queens with his superhero alter-ego Spider-Man, and finds himself on the trail of a new menace prowling the skies of New York City.","691,278",$334.20M
Alphaville: Une étrange aventure de Lemmy Caution,"Drama, Mystery, Sci-Fi",99 min,,1965,7,A U.S. secret agent is sent to the distant space city of Alphaville where he must find a missing person and free the city from its tyrannical ruler.,"26,704",$0.05M
Star Trek the Next Generation: Encounter at Farpoint,,,,1990,0,Add a Plot,,
Bor Mi Vanh Chark,"Drama, Horror, Mystery",116 min,72,2019,6.9,An old Laotian hermit discovers that the ghost of a road accident victim can transport him back in time fifty years to the moment of his mother's painful death.,559,
Superman,"Action, Adventure, Sci-Fi",143 min,82,1978,7.4,"An alien orphan is sent from his dying planet to Earth, where he grows up to become his adoptive home's first and greatest superhero.","182,611",$134.22M
Jigureul jikyeora!,"Comedy, Crime, Drama",118 min,70,2003,7.2,"Byeong-gu believes that the world is on the verge of an alien invasion, and sets out to save the world.","8,506",$0.01M
Rogue One,"Action, Adventure, Sci-Fi",133 min,65,2016,7.8,"In a time of conflict, a group of unlikely heroes band together on a mission to steal the plans to the Death Star, the Empire's ultimate weapon of destruction.","663,891",$532.18M
Captain America: Civil War,"Action, Sci-Fi",147 min,75,2016,7.8,Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.,"822,109",$408.08M
The Stepford Wives,"Horror, Mystery, Sci-Fi",115 min,54,1975,6.9,"Joanna Eberhart has come to the quaint little town of Stepford, Connecticut with her family, but soon discovers there lies a sinister truth in the all too perfect behavior of the female residents.","18,894",$8.72M
Sunshine,"Sci-Fi, Thriller",107 min,64,2007,7.2,A team of international astronauts is sent on a dangerous mission to reignite the dying Sun with a nuclear fission bomb in 2057.,"259,443",$3.68M
Pi,"Drama, Horror, Mystery",84 min,72,1998,7.3,A paranoid mathematician searches for a key number that will unlock the universal patterns found in nature.,"183,577",$3.22M
Kidô senshi Gandamu: Senkô no Hasauei,"Animation, Action, Drama",95 min,,2021,6.6,"Hathaway Noa, still haunted by his past actions, joins a terrorist organization called Mufti and adopts the alias ""Mufti Nabiyy Erin"". Mufti is fighting a terrorist campaign against the Earth Federation government.","1,749",
Los cronocrímenes,"Horror, Mystery, Sci-Fi",92 min,68,2007,7.1,A man accidentally gets into a time machine and travels back in time nearly an hour. Finding himself will be the first of a series of disasters of unforeseeable consequences.,"66,676",$0.04M
Android Kunjappan Version 5.25,"Comedy, Drama, Sci-Fi",140 min,,2019,8,"Story of a conventional, conservative small town villager and his son who has to move away from home due to his profession. Their relationship gets an endearing twist when an AI humanoid enters their lives and fills in their emptiness.","6,374",
Welcome II the Terrordome,"Drama, Sci-Fi",90 min,,1995,5.9,"Racial violence breaks out in a huge, black ghetto - triggered by a white woman living there with a black man.",334,
Upstream Color,"Drama, Sci-Fi",96 min,81,2013,6.5,"A man and woman are drawn together, entangled in the life cycle of an ageless organism. Identity becomes an illusion as they struggle to assemble the loose fragments of wrecked lives.","34,425",$0.44M
A Quiet Place Part II,"Drama, Horror, Sci-Fi",97 min,71,2020,7.2,"Following the events at home, the Abbott family now face the terrors of the outside world. Forced to venture into the unknown, they realize the creatures that hunt by sound are not the only threats lurking beyond the sand path.","254,798",$160.07M
Dexter's Laboratory: Ego Trip,"Animation, Action, Adventure",50 min,,1999,7.4,"After Dexter is confronted with robots who wish to ""destroy the one who saved the future,"" he uses his time machine to see how he saved it.","1,878",
Toki o kakeru shôjo,"Romance, Sci-Fi",104 min,,1983,6.6,A high-school girl acquires the ability to time travel.,834,
Deddo ribusu,"Animation, Action, Adventure",55 min,,2004,7.1,Two awaken on Earth with no recollection of their past and embark on a devastating crime spree but are sent to an infamous lunar penitentiary named Dead Leaves.,"4,258",
Forbidden Planet,"Adventure, Sci-Fi",98 min,80,1956,7.5,"A starship crew in the 23rd century goes to investigate the silence of a distant planet's colony, only to find just two survivors, a powerful robot, and the deadly secret of a lost civilization.","51,528",$3.00M
Stand by Me Doraemon 2,"Animation, Comedy, Drama",96 min,,2020,7.5,"Nobita travels to the future to show his beloved grandma his bride, but adult Nobita has fled his own wedding. Can he ever be a good husband to Shizuka?","4,515",
Lo chiamavano Jeeg Robot,"Action, Comedy, Drama",112 min,,2015,7,"Lonely, misanthropic small-time crook Enzo uses the superpowers he gained after falling into the Tiber River to chase down a crazy gangster called ""The Gypsy.""","15,862",
"Spider Baby or, the Maddest Story Ever Told","Comedy, Horror",81 min,63,1967,6.8,A caretaker devotes himself to three demented siblings after their father's death.,"7,451",
Jigoku no banken: akai megane,"Action, Comedy, Crime",116 min,,1987,6.5,A surreal science fiction noir involving a man trapped in a future where seemingly everyone is a government spy and all-night noodle stands are outlawed.,806,
Meikyû monogatari,"Animation, Adventure, Fantasy",50 min,,1987,7,"A trilogy of separate stories. In ""Labyrinth labyrinthos"", a girl and her cat enter a strange world. In ""Running Man"", a racer takes on the ultimate opponent. In ""Construction Cancellation Order"", a man must shut down worker robots.","4,016",
Star Trek VI: The Undiscovered Country,"Action, Adventure, Sci-Fi",110 min,65,1991,7.2,"On the eve of retirement, Kirk and McCoy are charged with assassinating the Klingon High Chancellor and imprisoned. The Enterprise crew must help them escape to thwart a conspiracy aimed at sabotaging the last best hope for peace.","78,965",$74.89M
Primer,"Drama, Sci-Fi, Thriller",77 min,68,2004,6.8,"Four friends/fledgling entrepreneurs, knowing that there's something bigger and more innovative than the different error-checking devices they've built, wrestle over their new invention.","111,008",$0.42M
The Hidden,"Horror, Sci-Fi, Thriller",97 min,69,1987,7,A cop and an FBI agent race for answers after law abiding people suddenly become violent criminals.,"21,566",$9.75M
Gamera daikaijû kuchu kessen,"Adventure, Fantasy, Horror",96 min,,1995,6.7,"An ornithologist investigates reports of a monstrous new species of bird just as a teenage girl is gifted an amulet found on mysterious atoll. As the creatures begin to attack, an ancient guardian with a bond to the girl emerges.","3,839",
Evangelion Shin Gekijôban: Jo,"Animation, Action, Drama",98 min,66,2007,7.6,The fate of the world is threatened by seemingly monstrous entities known as Angels. NERV is an organisation set up to counter this threat and it is up to young pilots to protect Earth but exactly what are the real motives behind NERV?,"26,163",$0.11M
Annihilation,"Adventure, Drama, Horror",115 min,79,2018,6.8,"A biologist signs up for a dangerous, secret expedition into a mysterious zone where the laws of nature don't apply.","345,682",$32.73M
Robot Chicken: Star Wars III,"Animation, Adventure, Comedy",45 min,,2010,8,The Emperor gets an upsetting phone call. George Lucas is saved from a mob of nerds by one helpful fan. Imperial officers learn how to survive Darth Vader in Orientation.,"4,591",
The Brother from Another Planet,"Comedy, Sci-Fi",108 min,70,1984,6.8,A mute alien with the appearance of a black human is chased by outer-space bounty hunters through the streets of Harlem.,"6,367",$3.70M
Star Trek,"Action, Adventure, Sci-Fi",127 min,82,2009,7.9,The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.,"613,019",$257.73M
Phenomena,"Crime, Horror, Mystery",116 min,57,1985,6.7,"A young girl who has an amazing ability to communicate with insects is transferred to an exclusive Swiss boarding school, where her unusual capability might help solve a string of murders.","28,697",
The American Astronaut,"Musical, Comedy, Sci-Fi",91 min,51,2001,6.9,"Samuel Curtis, an interplanetary trader, sets forth through a rustic and remote solar system, unaware that his old friend Professor Hess is trying to kill him.","3,181",$0.04M
Ang hupa,"Drama, Sci-Fi",279 min,,2019,6.8,Madmen control Manila in 2034 after massive volcanic eruptions have plunged Southeast Asia into darkness.,368,
Kidô keisatsu patorebâ: Gekijô-ban,"Animation, Action, Crime",100 min,,1989,7,The screwball cops of Special Vehicles Section 2 Division 2 must investigate and stop a spree of rampaging construction robots.,"5,414",
Star Trek: First Contact,"Action, Adventure, Drama",111 min,71,1996,7.6,The Borg travel back in time intent on preventing Earth's first contact with an alien species. Captain Picard and his crew pursue them to ensure that Zefram Cochrane makes his maiden flight reaching warp speed.,"129,635",$92.00M
Night of the Creeps,"Comedy, Horror, Sci-Fi",88 min,62,1986,6.7,"Alien brain parasites, entering humans through the mouth, turn their host into a killing zombie. Some teenagers start to fight against them.","25,051",$0.59M
The Abyss,"Adventure, Drama, Mystery",140 min,62,1989,7.5,A civilian diving team is enlisted to search for a lost nuclear submarine and faces danger while encountering an alien aquatic species.,"185,288",$54.46M
Superman II: The Richard Donner Cut,"Action, Adventure, Romance",116 min,,2006,7.6,"Superman agrees to sacrifice his powers to start a relationship with Lois Lane, unaware that three Kryptonian criminals he inadvertently released are conquering Earth.","18,287",
The Brood,"Horror, Sci-Fi",92 min,63,1979,6.8,"A man tries to uncover an unconventional psychologist's therapy techniques on his institutionalized wife, amidst a series of brutal murders.","32,718",
10 Cloverfield Lane,"Drama, Horror, Mystery",103 min,76,2016,7.2,A young woman is held in an underground bunker by a man who insists that a hostile event has left the surface of the Earth uninhabitable.,"342,939",$72.08M
Ssa-i-bo-geu-ji-man-gwen-chan-a,"Comedy, Drama, Romance",107 min,,2006,7,"A girl who thinks she is a combat cyborg checks into a mental hospital, where she encounters other psychotics. Eventually, she falls for a man who thinks he can steal people's souls.","25,288",
Dragon Ball Z Special: Zetsubô e no Hankô!! Nokosareta Chô Senshi - Gohan to Trunks,"Animation, Action, Adventure",47 min,,1993,7.8,"In a dark future where the Androids have taken over Earth, Gohan and his student Trunks are the last defense against these deadly killing machines.","5,795",
The Time Machine,"Adventure, Romance, Sci-Fi",103 min,67,1960,7.5,A man's vision for a utopian society is disillusioned when travelling forward into time reveals a dark and dangerous society.,"43,347",
The Blob,"Horror, Sci-Fi, Thriller",95 min,,1988,6.6,A deadly entity from space crash-lands near a small town and begins consuming everyone in its path. Panic ensues as shady government scientists try to contain the horrific creature.,"40,785",$8.25M
Wojna swiatów - nastepne stulecie,"Sci-Fi, Thriller",96 min,,1981,6.9,"Film opens on December 28, 1999, three days before the dawn of the new century. A local reporter, Iron Idem, announces that the Martians have landed. Shortly after that his program loses ...                See full summary »",740,
X-Men: Days of Future Past,"Action, Adventure, Sci-Fi",132 min,75,2014,7.9,The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.,"730,127",$233.92M
Perfect Sense,"Drama, Romance, Sci-Fi",92 min,55,2011,7,A chef and a scientist fall in love as an epidemic begins to rob people of their sensory perceptions.,"62,283",$0.00M
Regular Show: The Movie,"Animation, Action, Adventure",70 min,,2015,7.4,"To save the universe, and their friendship, Mordecai and Rigby must defeat an evil volleyball coach.","5,503",
From Beyond,"Horror, Sci-Fi",85 min,60,1986,6.6,"A group of scientists have developed the Resonator, a machine which allows whoever is within range to see beyond normal perceptible reality. But when the experiment succeeds, they are immediately attacked by terrible life forms.","28,613",$1.26M
Altered States,"Horror, Sci-Fi, Thriller",102 min,58,1980,6.9,A psycho-physiologist experiments with drugs and a sensory-deprivation tank and has visions he believes are genetic memories.,"37,112",$19.85M
Attack the Block,"Action, Adventure, Comedy",88 min,75,2011,6.7,A teen gang in South London defend their block from an alien invasion.,"109,745",$1.02M
Dredd,"Action, Crime, Sci-Fi",95 min,60,2012,7.1,"In a violent, futuristic city where the police have the authority to act as judge, jury and executioner, a cop teams with a trainee to take down a gang that deals the reality-altering drug, SLO-MO.","285,043",$13.41M
Predestination,"Action, Drama, Sci-Fi",97 min,69,2014,7.4,"For his final assignment, a top temporal agent must pursue the one criminal that has eluded him throughout time. The chase turns into a unique, surprising and mind-bending exploration of love, fate, identity and time travel taboos.","293,564",$0.07M
Wreck-It Ralph,"Animation, Adventure, Comedy",101 min,72,2012,7.7,"A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.","442,517",$189.42M
Ôritsu uchûgun Oneamisu no tsubasa,"Animation, Drama, Sci-Fi",121 min,,1987,7.2,"In an alternative Earth, a young astronaut participates in a controversial fledgling space program.","5,558",$0.06M
Kôkaku kidôtai 2.0,"Animation, Action, Crime",83 min,,2008,7.9,A hacker known as the Puppet Master is hunted by a female cyborg cop and her partner. This film is a revised version of Kôkaku kidôtai (1995).,"14,959",
Men in Black,"Action, Adventure, Comedy",98 min,71,1997,7.3,A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.,"591,079",$250.69M
Watchmen,"Action, Drama, Mystery",162 min,56,2009,7.6,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.","567,448",$107.51M
The World's End,"Action, Comedy, Sci-Fi",109 min,81,2013,6.9,Five friends who reunite in an attempt to top their epic pub crawl from twenty years earlier unwittingly become humanity's only hope for survival.,"291,683",$26.00M
The Adventures of Baron Munchausen,"Adventure, Comedy, Fantasy",126 min,69,1988,7.1,An account of Baron Munchausen's supposed travels and fantastical experiences across late 18th-century Europe with his band of misfits.,"55,490",$8.08M
Creature from the Black Lagoon,"Horror, Sci-Fi",79 min,68,1954,6.9,A strange prehistoric beast lurks in the depths of the Amazonian jungle. A group of scientists try to capture the animal and bring it back to civilization for study.,"32,603",$1.30M
Les maîtres du temps,"Animation, Adventure, Sci-Fi",78 min,,1982,7.3,"Piel, a 7 or 8 year old boy, is alone on the desert planet Perdide, only survivor of an attack by giant hornets. Calling for help, Piel's father's friend Jaffar keeps contact with the kid and hurries across space toward Perdide.","5,819",
Ryû to sobakasu no hime,"Animation, Adventure, Drama",121 min,83,2021,7.1,"Suzu is a shy high school student living in a rural village. For years, she has only been a shadow of herself. But when she enters ""U"", a massive virtual world, she escapes into her online persona as Belle, a globally-beloved singer.","15,197",
Village of the Damned,"Horror, Sci-Fi",77 min,77,1960,7.3,"In the English village of Midwich, the blonde-haired, glowing-eyed children of uncertain paternity prove to have frightening powers.","18,503",
Gekijouban Steins;Gate: Fuka ryouiki no dejavu,"Animation, Mystery, Sci-Fi",90 min,,2013,7.8,"After the events of the anime, Rintarou begins to feel the repercussions of extensive time travel, and eventually completely fades from reality. Kurisu, being the only companion to remember him, now must find a way to bring him back.","9,124",
Brain Damage,"Comedy, Horror",84 min,61,1988,6.5,"One morning, a young man wakes to find that a small, disgusting creature has attached itself to the base of his brain stem. The creature gives him a euphoric state of happiness but demands human victims in return.","12,563",
Rise of the Planet of the Apes,"Action, Drama, Sci-Fi",105 min,68,2011,7.6,A substance designed to help the brain repair itself gives advanced intelligence to a chimpanzee who leads an ape uprising.,"544,204",$176.76M
Rubber's Lover,"Horror, Sci-Fi",91 min,,1996,6.3,"Scientists use a brain-altering drug to conduct experiments, after one such project goes astray, they need to find another test subject in this Japanese splatter-punk film.","1,030",
Prince of Darkness,Horror,102 min,50,1987,6.7,"A group of graduate students and scientists uncover an ancient canister in an abandoned church, but when they open the container, they inadvertently unleash a strange liquid and an evil force on all humanity.","47,402",$14.18M
The Road,"Drama, Thriller",111 min,64,2009,7.2,"In a dangerous post-apocalyptic world, an ailing father defends his son as they slowly travel to the sea.","247,760",$0.06M
The Invisible Man,"Drama, Horror, Mystery",124 min,72,2020,7.1,"When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","241,528",$70.41M
Freaked,"Comedy, Sci-Fi",86 min,58,1993,6.3,"A vain actor, his best friend, and an activist end up at a mutant freak farm run by a weirdo scientist.","7,764",$0.03M
Spider-Man: Far from Home,"Action, Adventure, Comedy",129 min,69,2019,7.4,"Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever.","527,338",$390.53M
The Curse of Frankenstein,"Horror, Sci-Fi, Thriller",82 min,59,1957,7,"While awaiting execution for murder, Baron Victor Frankenstein tells the story of a creature he built and brought to life - only for it to behave not as he intended.","12,013",$17.44M
Guardians of the Galaxy Vol. 2,"Action, Adventure, Comedy",136 min,67,2017,7.6,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father, the ambitious celestial being Ego.","729,831",$389.81M
The Animatrix,"Animation, Action, Sci-Fi",100 min,,2003,7.3,A collection of nine short films featuring stories related to The Matrix (1999).,"80,643",
Psycho-Pass 3: First Inspector,"Animation, Action, Sci-Fi",135 min,,2020,7.4,"After the events of Psycho-Pass 3, Inspector Kei Mikhail Ignatov finds himself involved with an organization named Bifrost. First Inspector Koichi Azusawa coordinates an assault on the Public Safety Bureau tower.",847,
Lo mau,"Action, Horror, Sci-Fi",89 min,,1992,6.5,"An adaptation of the novel Old Cat, by Ni Kuang. A cat from outer space teams up with a young alien girl and her knight, along with an adventure novelist named Wisely, to fight a murderous alien that possesses people.",520,
Zombieland,"Action, Comedy, Horror",88 min,73,2009,7.6,"A shy student trying to reach his family in Ohio, a gun-toting bruiser in search of the last Twinkie and a pair of sisters striving to get to an amusement park join forces in a trek across a zombie-filled America.","601,031",$75.59M
X: First Class,"Action, Sci-Fi",131 min,65,2011,7.7,"In the 1960s, superpowered humans Charles Xavier and Erik Lensherr work together to find others like them, but Erik's vengeful pursuit of an ambitious mutant who ruined his life causes a schism to divide them.","709,459",$146.41M
Evangelion Shin Gekijôban: Kyu,"Animation, Action, Drama",96 min,45,2012,6.9,"14 years have passed since the near third impact. Most of the world has changed except Shinji Ikari who awakens, unaged in a new and strange environment. Misato has formed a group that is ...                See full summary »","17,214",$0.17M
Atlantis: The Lost Empire,"Animation, Action, Adventure",95 min,52,2001,6.9,A young linguist named Milo Thatch joins an intrepid group of explorers to find the mysterious lost continent of Atlantis.,"128,134",$84.05M
Dni zatmeniya,"Drama, Sci-Fi",139 min,,1988,7,Days of Eclipse is filmed in a psychedelic manner close to stream of consciousness using unusual cinematographic techniques. The action is set in Middle Asia.,"1,077",
The Man in the White Suit,"Comedy, Drama, Sci-Fi",85 min,,1951,7.3,"An altruistic chemist invents a fabric which resists wear and stain as a boon to humanity, but big business and labor realize it must be suppressed for economic reasons.","10,436",$0.01M
Neptune Frost,"Musical, Sci-Fi",105 min,83,2021,6.6,"An intersex African hacker, a coltan miner and the virtual marvel born as a result of their union.",917,
Space Adventure Cobra,"Animation, Action, Fantasy",99 min,,1982,7.2,"After two years in hiding, a famed space pirate with a ""psychogun"" for a left arm joins a bounty huntress on a quest to her save her world, only to find himself battling an old enemy.","2,185",
Zhong guo chao ren,"Action, Sci-Fi",88 min,,1975,6.2,"Princess Dragon Mom and her mutant army have risen, and only Infra-Man can stop them.","2,195",
Indru Netru Naalai,"Comedy, Sci-Fi, Thriller",146 min,,2015,8,"Elango and his friend Pulivetti come into possession of a time machine and they start profiting from it. However, their meddling with time prevents the death of a gangster, who begins to wreak havoc in their lives.","4,694",
Jinzô ningen Hakaidâ,"Action, Sci-Fi",77 min,,1995,6.1,"The popular villain/antihero from the classic ""Kikaider"" TV series stars in his own movie, as a dark defender in a post-apocalyptic future.",479,
Robotto kânibaru,"Animation, Comedy, Drama",90 min,,1987,6.8,"A collection of short stories, made by different animators with ""robot"" as the working title.","2,774",
Moebius,"Mystery, Sci-Fi, Thriller",88 min,,1996,6.7,A train on the Buenos Aires subway system suddenly vanishes.,"2,095",
Starman,"Romance, Sci-Fi",115 min,70,1984,7,"An alien takes the form of a young Wisconsin widow's husband and makes her drive him to his departure point in Arizona. Distrustful government agents, along with a more ambivalent scientist, give pursuit in hopes of intercepting them.","49,981",$28.70M
Gandahar,"Animation, Adventure, Fantasy",78 min,,1987,7,"An evil force from a 1000 years in the future begins to destroy an idyllic paradise, where the citizens are in perfect harmony with nature.","5,126",$0.37M
I Married a Strange Person!,"Animation, Comedy, Drama",75 min,,1997,6.9,"A newlywed develops a strange lump on his neck that gives him the ability to transform people or objects at will. His wife is very upset. Meanwhile, the CEO of Smilecorp learns of this man ...                See full summary »","2,087",$0.20M
Looper,"Action, Drama, Sci-Fi",119 min,84,2012,7.4,"In 2074, when the mob wants to get rid of someone, the target is sent into the past, where a hired gun awaits - someone like Joe - who one day learns the mob wants to 'close the loop' by sending back Joe's future self for assassination.","590,488",$66.49M
The Andromeda Strain,"Mystery, Sci-Fi, Thriller",131 min,60,1971,7.2,"A team of top scientists work feverishly in a secret, state-of-the-art laboratory to discover what has killed the citizens of a small town and learn how this deadly contagion can be stopped.","39,161",$3.42M
Shin seiki Evangelion Gekijô-ban: Shito shinsei,"Animation, Action, Drama",101 min,,1997,7.2,"A recap of the first 24 episodes of Neon Genesis Evangelion, followed by a 30-minute continuation of the plot that would later form the first third of The End of Evangelion.","15,074",
The Transformers: The Movie,"Animation, Action, Adventure",84 min,43,1986,7.2,"The Autobots must stop a colossal planet consuming robot who goes after the Autobot Matrix of Leadership. At the same time, they must defend themselves against an all-out attack from the Decepticons.","41,156",$5.85M
Incredibles 2,"Animation, Action, Adventure",118 min,80,2018,7.6,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,"315,330",$608.58M
The Hunger Games: Catching Fire,"Action, Adventure, Sci-Fi",146 min,76,2013,7.5,Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.,"689,763",$424.67M
Quatermass and the Pit,"Horror, Mystery, Sci-Fi",97 min,,1967,7,"A mysterious artifact is unearthed in London, and famous scientist Bernard Quatermass is called in to divine its origins and explain its strange effects on people.","11,011",
The Vast of Night,"Drama, Mystery, Sci-Fi",91 min,84,2019,6.7,"One night in New Mexico, in the late 1950s, a switchboard operator and radio DJ discover a strange audio frequency which could change the future forever.","42,532",
Testament,"Drama, Sci-Fi",90 min,71,1983,6.9,The life of a suburban American family is scarred after a nuclear attack.,"6,874",$2.04M
The Lost Skeleton of Cadavra,"Comedy, Horror, Sci-Fi",90 min,45,2001,6.8,"A bad scientist and his wife, a mad scientist, a skeleton, and two aliens and their escaped pet are all searching for the elusive element ""atmospherium"".","5,004",$0.14M
Eve no jikan,"Animation, Drama, Romance",106 min,,2010,7.2,"In a not too distant future, a young man's outlook on his home android begins to change after tracking the android's behavioral log to a mysterious cafe.","3,991",
Orlacs Hände,"Crime, Horror, Mystery",92 min,,1924,7,"A world-famous pianist loses both hands in an accident. When new hands are grafted on, he doesn't know they once belonged to a murderer.","3,183",
Stand by Me Doraemon,"Animation, Comedy, Drama",95 min,,2014,7.3,What will happen to Nobita's life after Doraemon leaves?,"8,822",
Denchû kozô no bôken,"Comedy, Horror, Sci-Fi",47 min,,1987,6.5,"Hikari is a boy who is bullied and teased by the other boys at school because he has the odd distinction of having an electricity pole growing out of his back. However, one of his ...                See full summary »",902,
Star Wars: Episode VII - The Force Awakens,"Action, Adventure, Sci-Fi",138 min,80,2015,7.8,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.","953,606",$936.66M
No profanar el sueño de los muertos,Horror,95 min,,1974,6.8,"A cop chases two hippies suspected of a series of Manson family-like murders; unbeknownst to him, the real culprits are the living dead, brought to life with a hunger for human flesh by ultrasonic radiation being used for pest control.","8,957",
Comet,"Comedy, Drama, Romance",91 min,52,2014,6.7,"Set in a parallel universe, Comet bounces back and forth over the course of an unlikely but perfectly paired couple's six-year relationship.","19,221",
Son of Frankenstein,"Drama, Horror, Sci-Fi",99 min,,1939,7.1,"Returning to the ancestral castle long after the death of the monster, the son of Dr. Frankenstein meets a mad shepherd who is hiding the comatose creature. To clear the family name, he revives the creature and tries to rehabilitate him.","11,117",
Gravity,"Drama, Sci-Fi, Thriller",91 min,96,2013,7.7,Two astronauts work together to survive after an accident leaves them stranded in space.,"845,543",$274.09M
Electroma,"Adventure, Drama, Sci-Fi",74 min,,2006,6.7,The journey of two robots on their quest to become human.,"4,444",
Gojira vs. Biorante,"Action, Sci-Fi, Thriller",104 min,,1989,6.5,"Desolate by the loss of his daughter, a geneticist creates a monstrous new mutation.","6,289",
Miss Muerte,"Horror, Sci-Fi",86 min,,1966,6.6,"Woman seeks to avenge her father's death by using a local dancer, with long poisonous fingernails, to do her bidding.","1,146",
Time Bandits,"Adventure, Comedy, Fantasy",116 min,79,1981,6.9,"A young boy accidentally joins a band of time travelling dwarves, as they jump from era to era looking for treasure to steal.","66,424",$42.37M
Berserk: Ougon jidai-hen II - Dorudorei koryaku,"Animation, Action, Adventure",95 min,,2012,7.7,"For three years, Guts believed his mission was to pursue Griffith's dream together with him. But in order to become Griffith's equal and truly be called his friend, Guts realizes he will have to leave the Band of the Hawk.","11,420",
Kidô senshi Gandamu II: Ai senshihen,"Animation, Action, Drama",139 min,,1981,7.1,"After managing to survive attacks by Zeon's Char Aznable and Garma Zabi, the crew of Federation warship White Base and its mobile suits battle Zeon forces (Ramba Ral, Ma Kube, Tri-Stars, ...                See full summary »","1,454",
Paris qui dort,Sci-Fi,59 min,,1925,7.1,A scientist's invisible ray freezes Paris into immobility.,"1,913",
O Homem do Futuro,"Comedy, Fantasy, Romance",106 min,,2011,6.9,"Zero is a brilliant scientist. However, 20 years ago, he was publicly humiliated when he lost Helena, the love of his life. One day, an accidental experience with one of his inventions ...                See full summary »","6,714",
Fahrenheit 451,"Drama, Sci-Fi",112 min,,1966,7.2,"In an oppressive future, a fireman whose duty is to destroy all books begins to question his task.","44,625",
"The World, the Flesh and the Devil","Drama, Romance, Sci-Fi",95 min,,1959,6.8,"A miner trapped in a cave-in resurfaces, and upon discovering mankind has been wiped out in a nuclear holocaust, sets out to find other survivors.","3,344",
New Rose Hotel,"Drama, Mystery, Sci-Fi",93 min,31,1998,5.1,"Two businessmen are hired to steal secrets from a rival, and decide to use a beautiful call girl to do so.","5,814",$0.02M
Aniara,"Drama, Sci-Fi",106 min,61,2018,6.3,"A spaceship carrying settlers to Mars is knocked off course, causing the consumption-obsessed passengers to consider their place in the universe.","10,447",$0.04M
Petrovy v grippe,"Drama, Sci-Fi",145 min,79,2021,6.7,"A day in the life of a comic book artist and his family in post-Soviet Russia. While suffering from the flu, Petrov is carried by his friend Igor on a long walk, drifting in and out of fantasy and reality.","2,768",
Light of My Life,"Drama, Sci-Fi, Thriller",119 min,67,2019,6.6,"Parent and child journey through the outskirts of society a decade after a pandemic has wiped out half the world's population. As a father struggles to protect his child, their bond, and the character of humanity, is tested.","14,655",
"20,000 Leagues Under the Sea","Adventure, Drama, Family",127 min,83,1954,7.2,"A ship sent to investigate a wave of mysterious sinkings encounters the advanced submarine, the Nautilus, commanded by Captain Nemo.","35,852",$28.20M
Kuruizaki sanda rodo,"Action, Sci-Fi",97 min,,1980,6.5,"When the leader of the once-notorious biker gang of Tokyo falls in love with a barmaid and quickly loses his rebellious ideals, the rest of the gang feels betrayed. Especially the reputedly...                See full summary »",533,
Colossus: The Forbin Project,"Sci-Fi, Thriller",100 min,,1970,7.1,"Thinking this will prevent war, the US government gives an impenetrable supercomputer total control over launching nuclear missiles. But what the computer does with the power is unimaginable to its creators.","9,653",
The Fountain,"Drama, Mystery, Romance",97 min,51,2006,7.2,"As a modern-day scientist, Tommy is struggling with mortality, desperately searching for the medical breakthrough that will save the life of his cancer-stricken wife, Izzi.","244,897",$10.14M
