Movie_Name,Genre,Running_Time,Metascore,Release_year,IMDb_Rating,Movie_Description,Votes,Gross
Aliens,"Action, Adventure, Sci-Fi",137 min,84,1986,8.4,"Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","739,687",$85.16M
The Prestige,"Drama, Mystery, Sci-Fi",130 min,66,2006,8.5,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","1,386,427",$53.09M
Jurassic Park,"Action, Adventure, Sci-Fi",127 min,68,1993,8.2,A pragmatic paleontologist touring an almost complete theme park on an island in Central America is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.,"1,027,967",$402.45M
Blade Runner,"Action, Drama, Sci-Fi",117 min,84,1982,8.1,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"796,561",$32.87M
Blade Runner 2049,"Action, Drama, Mystery",164 min,81,2017,8,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","617,537",$92.05M
Bacurau,"Action, Adventure, Drama",131 min,82,2019,7.3,"After the death of her grandmother, Teresa comes home to her matriarchal village in a near-future Brazil to find a succession of sinister events that mobilizes all of its residents.","29,393",
Gekijô ban Tengen toppa guren ragan: Ragan hen,"Animation, Action, Drama",126 min,,2009,8,"Seven years after the defeat of the Spiral King, Simon and the Dai-Gurren brigade must set out to the vastness of space to defeat a new threat and save the universe. The last high-stakes battle for Simon and his team is about to begin.","1,147",
Fail Safe,"Drama, Thriller",112 min,75,1964,8,A technical malfunction sends American planes to Moscow to deliver a nuclear attack. Can all-out war be averted?,"23,386",
Coraline,"Animation, Drama, Family",100 min,80,2009,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.","248,049",$75.29M
Arrival,"Drama, Mystery, Sci-Fi",116 min,81,2016,7.9,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,"730,197",$100.55M
Tenshi no tamago,"Animation, Drama, Fantasy",71 min,,1985,7.6,"A mysterious young girl wanders a desolate, otherworldly landscape, carrying a large egg.","10,970",
Mizu no naka no hachigatsu,"Drama, Sci-Fi",117 min,,1995,7.3,A teenage girl gains supernatural power after an accident and comes to understand her place in the universe.,683,
Her,"Drama, Romance, Sci-Fi",126 min,91,2013,8,"In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","643,776",$25.57M
Dune: Part One,"Action, Adventure, Drama",155 min,74,2021,8,A noble family becomes embroiled in a war for control over the galaxy's most valuable asset while its heir becomes troubled by visions of a dark future.,"704,754",$108.33M
Kaze no tani no Naushika,"Animation, Adventure, Sci-Fi",117 min,86,1984,8,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.,"175,857",$0.50M
Suzumiya Haruhi no shôshitsu,"Animation, Drama, Family",162 min,,2010,8,"A week before Christmas, Kyon wakes up in a world where the SOS Brigade doesn't exist. Mikuru and Yuki don't recognize him, and Haruhi and Itsuki seem to have vanished.","7,698",
Threads,"Drama, Sci-Fi, Thriller",112 min,92,1984,8,"The effects of a nuclear holocaust on the working class city of Sheffield, England and the eventual long-term effects of nuclear war on civilization.","18,081",
Logan,"Action, Drama, Sci-Fi",137 min,77,2017,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety.","798,914",$226.28M
Brazil,"Drama, Sci-Fi, Thriller",132 min,84,1985,7.9,A bureaucrat in a dystopic society becomes an enemy of the state as he pursues the woman of his dreams.,"206,522",$9.93M
Seconds,"Sci-Fi, Thriller",106 min,71,1966,7.6,An unhappy middle-aged banker agrees to a procedure that will fake his death and give him a completely new look and identity - one that comes with its own price.,"21,220",
Kidô keisatsu patorebâ: The Movie 2,"Animation, Action, Drama",113 min,,1993,7.5,"When a terrorist attack is blamed on the Air Force, Special Vehicle Unit 2 gets caught in the middle of a growing political conflict.","4,410",
Pisma myortvogo cheloveka,"Drama, Sci-Fi",87 min,,1986,7.6,"In the aftermath of nuclear holocaust, a group of intellectuals crave to find hope in the pale and colorless new world. Among them, a history teacher tries to contact via letters his missing son.","3,547",
Fiksi.,"Drama, Thriller",90 min,,2008,7.7,Alisha (Ladya Cheryl) never feel comfortable staying in her cool and spacious home until one day she meets Bari (Donny Alamsyah) who introduces her the meaning of love.,537,
Paprika,"Animation, Drama, Fantasy",90 min,81,2006,7.7,"When a machine that allows therapists to enter their patients' dreams is stolen, all hell breaks loose. Only a young female therapist, Paprika, can stop it.","89,511",$0.88M
Young Frankenstein,Comedy,106 min,83,1974,8,"An American grandson of the infamous scientist, struggling to prove that his grandfather was not as insane as people believe, is invited to Transylvania, where he discovers the process that reanimates a dead body.","164,124",$86.30M
Kôkaku kidôtai,"Animation, Action, Crime",83 min,76,1995,7.9,A cyborg policewoman and her partner hunt a mysterious and powerful hacker called the Puppet Master.,"150,297",$0.52M
